"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","192.4.5.1",,,,"User:","dbadmin"
"Cmdline:","dstat -t -d -n -c -r --output /home/dbadmin/dstat_results_192-4-5-1.csv",,,,"Date:","21 Aug 2017 04:16:24 UTC"

"system","dsk/total",,"net/total",,"total cpu usage",,,,,,"io/total",
"time","read","writ","recv","send","usr","sys","idl","wai","hiq","siq","read","writ"
21-08 04:16:24,26444003.339,61021713.967,0.0,0.0,0.038,0.743,98.624,0.579,0.0,0.016,287.407,498.012
21-08 04:16:25,8192.0,0.0,570.0,632.0,0.0,0.062,99.938,0.0,0.0,0.0,2.0,0.0
21-08 04:16:26,4096.0,0.0,528.0,524.0,0.031,0.0,99.969,0.0,0.0,0.0,1.0,0.0
21-08 04:16:27,0.0,0.0,528.0,524.0,0.0,0.031,99.969,0.0,0.0,0.0,0.0,0.0
21-08 04:16:28,8192.0,0.0,528.0,524.0,0.0,0.0,100.0,0.0,0.0,0.0,2.0,0.0
21-08 04:16:29,926281728.0,659456.0,19340.0,11530.0,35.986,4.794,58.773,0.415,0.0,0.032,9254.0,85.0
21-08 04:16:30,1025306624.0,0.0,24703.0,24089.0,44.739,5.939,48.903,0.420,0.0,0.0,10216.0,0.0
21-08 04:16:31,0.0,0.0,528.0,524.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
